Symbol,Crawl_Price,Price,Date_Start,Date_End
ACL,1,1,14/05/2021,23/08/2023
ACM,1,1,03/07/2023,23/08/2023
ACP,1,1,06/07/2011,01/08/2023
ACQ,1,1,01/05/2014,23/08/2023
ACR,1,1,29/09/2004,23/08/2023
ACS,1,1,26/08/2005,04/08/2023
ACU,1,1,05/12/2003,23/08/2023
ACW,1,1,16/10/2007,23/08/2023
AD1,1,1,23/06/2016,17/08/2023
AD8,1,1,30/06/2017,23/08/2023
ADA,1,1,04/01/2000,23/08/2023
ADC,1,1,17/01/2023,23/08/2023
ADD,1,1,11/01/2000,23/08/2023
ADG,1,1,21/03/2007,23/08/2023
ADH,1,1,17/06/2015,23/08/2023
ADN,1,1,04/01/2000,23/08/2023
ADO,1,1,07/04/2000,23/08/2023
ADR,1,1,26/08/2015,23/08/2023
ADS,1,1,04/01/2000,23/08/2023
ADT,1,1,01/05/2018,23/08/2023
ADV,1,1,25/10/2005,23/08/2023
ADX,1,1,06/01/2000,23/08/2023
ADY,1,1,04/01/2000,21/08/2023
AE1,0,0,,
AEE,1,1,23/09/2021,23/08/2023
AEF,1,1,17/12/2002,23/08/2023
AEI,1,1,12/09/2000,22/08/2023
AER,1,1,01/04/2015,23/08/2023
AEV,1,1,10/10/2006,23/08/2023
AFA,1,1,29/01/2008,28/07/2023
AFG,1,1,22/05/2015,23/08/2023
AFI,1,1,04/01/2000,23/08/2023
AFL,1,1,29/09/2005,22/08/2023
AFP,1,1,07/06/2016,16/08/2023
AFW,1,1,30/11/2010,23/08/2023
AGC,1,1,07/01/2000,23/08/2023
AGD,1,1,04/01/2000,22/08/2023
AGE,1,1,03/02/2011,23/08/2023
AGH,1,1,21/09/2018,23/08/2023
AGI,1,1,17/12/2001,22/08/2023
AGL,1,1,04/01/2000,23/08/2023
AGN,1,1,11/06/2021,23/08/2023
AGR,1,1,13/02/2008,23/08/2023
AGY,1,1,04/01/2000,23/08/2023
AHC,1,1,24/09/2004,23/08/2023
AHF,1,1,30/06/2006,23/08/2023
AHI,1,1,17/08/2015,23/08/2023
AHK,1,1,24/12/2021,23/08/2023
AHL,1,1,04/01/2000,23/08/2023
AHN,1,1,03/11/2021,23/08/2023
AHQ,0,0,,
AHX,1,1,15/12/2015,23/08/2023
AIA,1,1,04/01/2000,23/08/2023
AIB,1,1,09/01/2008,30/09/2022
AII,1,1,02/08/2021,15/08/2023
AIM,1,1,29/09/2005,23/08/2023
AIQ,1,1,02/08/2006,23/08/2023
AIS,1,1,02/02/2011,23/08/2023
AIV,1,1,11/04/2006,28/07/2023
AIZ,1,1,04/01/2000,23/08/2023
AJJ,1,1,19/03/2007,01/07/2009
AJL,1,1,04/01/2000,23/08/2023
AJQ,1,1,26/04/2012,23/08/2023
AJX,1,1,04/01/2000,23/08/2023
AJY,1,1,21/08/2020,23/08/2023
AKE,1,1,04/12/2007,23/08/2023
AKG,1,1,06/01/2000,23/08/2023
AKM,1,1,06/02/2007,23/08/2023
AKN,1,1,15/06/2021,23/08/2023
AKO,1,1,15/12/2020,23/08/2023
AKP,1,1,24/12/2004,23/08/2023
AL3,1,1,20/04/2020,23/08/2023
AL8,1,1,09/06/2017,23/08/2023
ALA,1,1,24/01/2002,23/08/2023
ALB,1,1,30/04/2021,22/08/2023
ALC,1,1,24/06/2011,23/08/2023
ALD,1,1,04/01/2000,23/08/2023
ALG,1,1,30/11/2018,23/08/2023
ALI,1,1,03/07/2015,23/08/2023
ALK,1,1,04/01/2000,23/08/2023
ALL,1,1,04/01/2000,23/08/2023
ALM,1,1,18/04/2007,23/08/2023
ALO,1,1,29/11/2021,23/08/2023
ALQ,1,1,04/01/2000,23/08/2023
ALT,0,0,,
ALU,1,1,04/01/2000,23/08/2023
ALV,1,1,20/10/2021,23/08/2023
ALX,1,1,25/01/2010,23/08/2023
ALY,1,1,26/11/2007,23/08/2023
AM7,1,1,25/06/2021,22/08/2023
AMA,1,1,31/08/2006,23/08/2023
AMC,1,1,04/01/2000,23/08/2023
AMD,1,1,28/10/2005,23/08/2023
AME,1,1,20/12/2012,23/08/2023
AMH,1,1,10/02/2000,23/08/2023
AMI,1,1,08/05/2007,23/08/2023
AML,1,1,14/06/2007,23/08/2023
AMM,1,1,29/12/2021,23/08/2023
AMN,1,1,09/10/2007,23/08/2023
AMO,1,1,10/12/2004,23/08/2023
AMP,1,1,04/01/2000,23/08/2023
AMS,1,1,28/12/2018,27/02/2023
AMT,1,1,05/12/2007,22/08/2023
AMX,1,1,10/12/2019,23/08/2023
AN1,1,1,09/12/2005,23/08/2023
AND,1,1,14/02/2020,23/08/2023
ANG,1,1,09/03/2004,23/08/2023
ANL,1,1,14/12/2006,17/08/2023
ANN,1,1,04/01/2000,23/08/2023
ANO,1,1,24/02/2005,23/08/2023
ANP,1,1,20/12/2001,23/08/2023
ANR,1,1,16/10/2014,23/08/2023
