Symbol,Security_id,Error_code
CSX,0P0001KY8S,100
CT1,0P00006W7K,100
CTD,0P0000RYIS,100
CTE,0P00006WF9,100
CTM,0P00006XZS,100
CTN,0P0000MQTL,100
CTO,0P00006WDU,100
CTP,0P00006XWI,100
CTQ,0P0001O92P,100
CTT,0P0001LDJ8,100
CTV,,404
CU6,0P0001N5QR,100
CUE,0P00006WFA,100
CUF,0P00006XVX,100
CUL,0P00006WFB,100
CUP,0P0000S0FZ,100
CUS,0P0001N7E9,100
CUV,0P00006WE1,100
CVC,0P00006WCL,100
CVL,0P0001DKLI,100
CVN,0P00006WCZ,100
CVR,0P0001P7VZ,100
CVV,0P00006Y70,100
CVW,0P00006Y2C,100
CWP,0P00006WD7,100
CWX,0P0001CDDT,100
CWY,0P00006X03,100
CXL,0P0001DZLO,100
CXM,0P00006XWM,100
CXO,0P0000S0GN,100
CXU,0P00006Y6S,100
CXX,0P0000TZAW,100
CXZ,0P00006WG8,100
CY5,0P0001CILO,100
CYC,0P0000A1JT,100
CYG,0P00006WF3,100
CYL,0P00006XWD,100
CYM,0P00006W9K,100
CYP,0P0000A1G9,100
CYQ,0P0000A0YB,100
CZN,0P00006WJC,100
CZR,0P00006XXK,100
D2O,0P00018ODB,100
DAF,0P0000U3OX,100
DAL,0P0001NACK,100
DBF,0P0001CJQ1,100
DBI,,100
DBO,0P0001NIJS,100
DC2,0P0001L27Y,100
DCC,0P000080NR,100
DCG,0P00006Y4S,100
DCL,0P00018JIG,100
DCN,0P0000XLEG,100
DCX,0P0000A1GP,100
DDB,0P0001KHGZ,100
DDH,0P0001LVOA,100
DDR,0P0000RYUP,100
DDT,0P00006XXX,100
DEG,0P00006WFL,100
DEL,0P0001M3PP,100
DEM,0P00019ZRR,100
DES,0P0001Q8QS,100
DEV,0P00006Y8A,100
DGH,0P00006WFO,100
DGL,0P0001MJ0L,100
DGR,0P00006XXS,100
DHG,0P0001C6J6,100
DJW,0P0000PWG6,100
DKM,0P00013PDS,100
DLI,0P0001BLMX,100
DLM,0P00006Y7V,100
DM1,0P0001L9NG,100
DMC,0P00006WM6,100
DME,0P0000WHNS,100
DMG,0P0000A1D9,100
DMM,0P0000A16O,100
DMP,0P00006WG0,100
DNA,0P00006X0G,100
DNK,0P00006WXG,100
DOC,0P0001L9DQ,100
DOR,0P0001BPGI,100
DOU,0P0001KT0L,100
DOW,0P00006WG1,100
DRA,0P0001MUTX,100
DRE,0P00006XYW,100
DRO,0P0001809K,100
DRR,0P0001KY8T,100
DRX,0P00006XY1,100
DSE,0P00006WHF,100
DSK,0P0001L032,100
DTC,0P0001IKQE,100
DTI,0P0001517L,100
DTL,0P00006WFJ,100
DTM,0P0000A14I,100
DTR,0P0000TE0S,100
DTZ,0P0000A115,100
DUB,0P00006WRL,100
DUG,0P0001KIHN,100
DUI,0P0000PWG5,100
DUN,0P0001NQGL,100
DUR,0P0001KZ3D,100
DVL,0P00011HAL,100
DVP,0P0000A1I9,100
DVR,0P00006XZZ,100
DXB,0P00006WK1,100
DXC,0P0001BE5T,100
DXI,0P00011D1E,100
DXN,0P0001D3WH,100
DXS,0P00009Y0L,100
DY6,0P0001QVRP,100
DYL,0P00006XXY,100
DYM,0P0001QB79,100
E25,0P00006Y3K,100
E33,0P0001L88G,100
E79,0P0001NHAD,100
EAX,0P0000UD9Q,100
EBG,0P00006WH9,100
EBO,0P000102N9,100
EBR,0P0001NUYV,100
ECF,,100
ECG,0P00014MVV,100
ECL,0P00006WCF,100
